Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Emilija             M.                  1      3      8      3      5      1         
Amelija             A.                  3      4      2      1      9      2         
Motiejus            T.                  5      9      1      6      9      3         
Adomas              M.                  6      7      1      2      4      7         
Nojus               F.                  9      10     5      8      10     7         
Motiejus            E.                  1      4      5      4      1      9         
Rokas               R.                  7      1      7      7      5      3         
Benas               D.                  4      8      9      5      5      2         
Barbora             E.                  7      4      7      2      9      3         
Paulius             S.                  3      1      2      3      9      6         
Nojus               I.                  5      8      9      10     8      7         
Barbora             L.                  10     7      6      9      5      3         
Matas               N.                  1      10     5      10     7      2         
Juozas              C.                  10     6      3      9      3      2         
Jonas               L.                  5      3      8      6      5      4         
Jonas               B.                  6      7      1      2      3      6         
Markas              O.                  6      2      3      2      2      9         
Lukas               F.                  7      10     1      2      3      9         
Amelija             R.                  5      9      10     7      10     8         
Barbora             K.                  3      9      1      8      2      8         
Petras              L.                  3      8      1      1      9      8         
Barbora             I.                  10     3      3      9      6      10        
Andrius             F.                  6      1      5      5      7      10        
Andrius             G.                  6      10     10     1      1      9         
Olivija             O.                  10     9      7      2      7      6         
Jonas               A.                  8      4      7      2      9      7         
Petras              P.                  1      7      6      8      7      9         
Juozas              N.                  3      7      2      8      2      7         
Benas               A.                  10     4      3      2      1      1         
Lukas               C.                  2      10     2      6      5      2         
Jokubas             K.                  5      10     5      5      1      6         
Kestas              U.                  10     6      2      3      10     7         
Petras              L.                  1      4      9      6      2      1         
Motiejus            U.                  10     4      5      6      6      10        
Olivija             K.                  5      9      10     2      7      10        
Jonas               A.                  5      1      3      9      9      4         
Jokubas             N.                  10     10     7      7      3      2         
Ugne                S.                  4      9      7      3      4      6         
Benas               G.                  5      4      1      9      10     6         
Nojus               O.                  5      7      9      6      2      4         
Jonas               I.                  6      10     7      3      4      10        
Dominykas           E.                  2      4      2      4      3      8         
Daumantas           B.                  10     7      5      3      3      4         
Paulius             T.                  8      5      7      7      8      5         
Lukne               L.                  9      9      4      10     3      10        
Juozas              J.                  5      3      4      7      3      3         
Jonas               U.                  6      3      10     3      9      6         
Nojus               K.                  2      2      5      8      7      10        
Ugne                Q.                  10     5      9      6      10     5         
Jonas               P.                  7      5      7      9      4      8         
Nojus               O.                  9      4      9      9      1      8         
Adele               E.                  1      10     3      8      5      4         
Lukas               P.                  9      9      10     7      7      8         
Paulius             G.                  6      5      5      2      5      9         
Adomas              C.                  8      5      3      6      1      2         
Ugne                R.                  5      7      10     10     3      4         
Jonas               M.                  6      1      10     10     5      1         
Jonas               N.                  2      5      5      4      8      2         
Paulius             I.                  10     9      4      2      4      9         
Ugne                I.                  4      1      3      7      5      6         
Markas              V.                  5      10     2      4      4      8         
Lukas               N.                  8      1      5      9      8      7         
Barbora             G.                  2      7      7      1      8      10        
Petras              N.                  2      10     3      10     9      9         
Jokubas             K.                  7      10     3      3      3      6         
Olivija             S.                  6      1      9      7      1      2         
Jonas               O.                  5      2      8      3      10     7         
Dominykas           I.                  10     9      1      9      8      1         
Jonas               D.                  10     2      8      1      8      2         
Jokubas             B.                  2      9      7      8      3      6         
Lukne               T.                  9      5      3      3      9      9         
Barbora             G.                  4      1      6      9      6      3         
Daumantas           P.                  8      10     4      3      6      8         
Paulius             C.                  1      7      8      10     7      5         
Markas              D.                  5      2      4      2      9      9         
Paulius             R.                  7      10     5      6      2      9         
Lukas               M.                  4      1      7      2      1      1         
Ema                 L.                  1      10     4      8      5      8         
Rokas               R.                  5      4      1      4      1      10        
Dominykas           P.                  4      7      5      3      8      9         
Kestas              P.                  9      8      3      10     9      9         
Liepa               B.                  5      7      3      2      2      1         
Adele               B.                  2      1      4      9      4      6         
Andrius             Q.                  9      7      7      1      2      5         
Nojus               V.                  10     4      10     4      8      1         
Rokas               U.                  1      6      10     2      2      5         
Kestas              L.                  7      8      6      2      9      9         
Amelija             B.                  2      6      7      7      1      10        
Ema                 F.                  2      6      1      3      2      4         
Motiejus            Q.                  1      6      1      6      8      10        
Kestas              M.                  1      2      5      6      5      9         
Adomas              H.                  10     10     1      5      9      2         
Andrius             L.                  5      6      4      4      2      3         
Lukas               L.                  2      2      5      5      6      4         
Juozas              L.                  10     3      7      1      7      4         
Ema                 L.                  4      10     6      10     4      6         
Barbora             Q.                  8      4      9      5      7      4         
Juozas              M.                  6      2      8      7      8      3         
Olivija             N.                  6      8      10     6      2      5         
Adomas              S.                  7      8      10     8      7      8         
Juozas              C.                  2      9      3      2      4      3         
Benas               B.                  5      4      7      5      4      7         
Jonas               O.                  9      8      7      10     8      9         
Olivija             R.                  1      3      6      7      10     4         
Jonas               D.                  2      6      2      5      5      2         
Amelija             U.                  5      2      2      2      3      10        
Dominykas           L.                  3      5      4      3      3      4         
Jokubas             E.                  10     8      10     7      9      6         
Lukas               B.                  10     3      3      6      7      4         
Nojus               B.                  4      4      2      5      3      2         
Amelija             L.                  2      9      7      1      2      8         
Benas               D.                  3      10     7      7      2      8         
Ema                 F.                  10     3      5      1      10     5         
Jokubas             V.                  5      4      5      3      3      7         
Emilija             B.                  5      6      8      2      9      3         
Jonas               A.                  5      6      3      5      4      4         
Juozas              K.                  7      10     10     3      10     3         
Tomas               H.                  1      10     1      4      2      10        
Liepa               S.                  9      1      6      9      2      2         
Emilija             J.                  1      3      4      8      8      6         
Kestas              T.                  6      8      4      8      5      10        
Rokas               B.                  9      9      6      1      3      1         
Nojus               Q.                  10     10     6      8      8      1         
Andrius             F.                  2      4      2      9      6      5         
Adele               J.                  10     5      2      4      3      7         
Dominykas           L.                  5      10     1      4      6      8         
Barbora             S.                  3      9      7      8      5      3         
Dominykas           M.                  4      3      7      4      4      7         
Jonas               A.                  1      1      9      1      4      3         
Rokas               F.                  4      3      7      8      8      5         
Liepa               G.                  4      4      2      5      10     5         
Barbora             R.                  1      5      1      9      3      2         
Petras              H.                  6      7      9      7      9      3         
Amelija             T.                  1      5      9      7      6      7         
Markas              Q.                  4      9      8      7      2      10        
Dominykas           R.                  10     8      1      6      5      4         
Lukas               F.                  7      4      4      2      3      1         
Ugne                C.                  5      2      2      8      7      4         
Lukne               O.                  9      10     6      3      6      1         
Tomas               B.                  3      7      4      10     4      1         
Lukne               G.                  8      3      5      1      3      4         
Jonas               Q.                  8      6      8      10     10     6         
Adomas              Q.                  2      10     3      5      10     3         
Andrius             T.                  1      4      6      2      7      6         
Kestas              V.                  3      2      4      10     4      3         
Dominykas           V.                  2      5      8      5      6      10        
Lukne               N.                  5      10     8      5      10     5         
Ema                 J.                  2      4      4      10     2      8         
Andrius             K.                  6      2      10     7      10     9         
Emilija             T.                  3      10     5      3      5      10        
Juozas              G.                  3      4      10     3      4      4         
Adomas              G.                  9      3      10     5      9      4         
Lukne               G.                  3      6      5      3      2      7         
Jonas               N.                  6      5      6      5      8      4         
Matas               R.                  10     2      8      4      6      6         
Jonas               O.                  7      6      5      1      9      9         
Petras              D.                  8      9      10     10     9      3         
Amelija             H.                  10     9      7      7      7      7         
Lukas               M.                  3      1      7      4      9      3         
Olivija             H.                  4      10     10     9      4      6         
Ema                 I.                  7      9      3      3      1      1         
Rokas               A.                  3      10     2      3      2      3         
Lukne               U.                  7      9      8      8      4      7         
Markas              V.                  8      1      6      6      5      7         
Emilija             V.                  3      4      10     9      6      7         
Jokubas             R.                  1      8      6      9      9      1         
Juozas              D.                  10     4      4      2      10     8         
Jokubas             O.                  8      8      4      5      3      7         
Jonas               R.                  7      9      3      2      6      9         
Motiejus            M.                  10     10     10     7      8      10        
Dominykas           O.                  10     9      10     3      10     8         
Benas               S.                  8      3      4      6      9      3         
Paulius             C.                  4      7      1      9      1      2         
Olivija             F.                  1      3      4      10     3      7         
Markas              U.                  1      8      6      4      3      5         
Jonas               K.                  7      3      2      10     6      9         
Motiejus            P.                  6      4      8      4      9      5         
Amelija             S.                  5      8      8      1      9      7         
Ema                 D.                  2      3      7      8      5      7         
Amelija             D.                  9      6      5      7      6      7         
Nojus               R.                  7      2      10     2      10     3         
Adomas              P.                  10     2      5      5      9      7         
Markas              T.                  4      9      9      7      3      6         
Olivija             S.                  6      6      5      8      4      6         
Markas              L.                  6      3      6      7      4      3         
Adomas              B.                  7      1      7      9      5      2         
Andrius             M.                  3      4      5      1      6      8         
Daumantas           U.                  10     4      3      5      2      8         
Motiejus            I.                  1      6      4      7      9      6         
Andrius             D.                  4      6      7      6      7      8         
Dominykas           B.                  5      7      2      10     4      10        
Kestas              D.                  10     2      2      10     3      9         
Ugne                M.                  6      8      3      2      7      9         
Lukne               G.                  4      3      6      10     3      8         
Ugne                L.                  3      7      9      7      7      9         
Motiejus            A.                  2      9      10     3      9      1         
Juozas              T.                  9      1      10     3      1      4         
Paulius             F.                  2      2      3      10     7      1         
Andrius             M.                  4      9      3      4      6      7         
Andrius             O.                  4      1      8      3      1      8         
Juozas              D.                  10     8      6      7      2      8         
Kestas              H.                  6      4      4      7      2      5         
Adele               F.                  5      2      4      7      6      9         
Nojus               V.                  5      8      10     4      10     9         
Liepa               U.                  3      7      6      9      8      10        
Matas               M.                  2      6      8      2      7      8         
Kestas              F.                  4      2      8      3      5      3         
Lukne               H.                  9      7      7      3      4      10        
Lukne               D.                  10     6      6      7      1      1         
Petras              I.                  7      5      4      3      1      4         
Tomas               G.                  4      8      7      7      9      2         
Ugne                R.                  9      6      9      2      2      9         
Juozas              B.                  7      4      4      7      6      2         
Amelija             I.                  10     8      3      4      6      8         
Andrius             K.                  1      10     1      5      10     9         
Jokubas             O.                  6      2      8      9      10     7         
Adele               K.                  8      10     6      1      10     2         
Tomas               M.                  2      5      3      4      3      9         
Andrius             D.                  9      4      1      3      3      1         
Nojus               B.                  8      7      1      4      2      8         
Liepa               O.                  9      6      3      10     10     7         
Daumantas           E.                  6      1      6      4      8      7         
Paulius             P.                  1      1      1      6      4      5         
Ema                 C.                  3      3      5      8      9      8         
Paulius             T.                  10     1      9      1      8      8         
Rokas               P.                  7      3      2      6      5      5         
Amelija             L.                  8      5      1      5      9      1         
Barbora             M.                  4      7      3      1      2      6         
Olivija             D.                  6      7      10     10     1      1         
Kestas              P.                  4      9      5      3      5      5         
Dominykas           Q.                  7      2      4      8      4      1         
Jonas               L.                  4      1      5      6      10     2         
Benas               L.                  9      2      5      7      4      8         
Motiejus            P.                  9      6      8      2      8      2         
Adomas              L.                  9      8      4      6      2      4         
Nojus               J.                  2      2      3      7      4      8         
Markas              U.                  8      8      1      2      5      1         
Andrius             V.                  6      7      1      5      2      4         
Matas               F.                  3      9      6      3      6      1         
Jonas               J.                  9      3      2      8      3      4         
Andrius             C.                  6      7      3      3      1      4         
Juozas              M.                  4      3      1      7      5      8         
Motiejus            F.                  6      1      8      6      5      5         
Petras              H.                  1      5      5      7      1      3         
Jokubas             G.                  7      8      6      4      1      7         
Andrius             L.                  1      5      5      1      8      4         
Tomas               O.                  3      9      7      1      1      2         
Jonas               L.                  5      9      9      10     5      6         
Petras              O.                  4      2      10     4      4      4         
Olivija             H.                  1      7      9      1      4      6         
Benas               E.                  6      5      8      3      10     3         
Matas               F.                  5      3      9      3      6      2         
Barbora             O.                  3      9      8      4      6      1         
Juozas              M.                  10     9      3      9      7      6         
Amelija             V.                  5      3      5      4      4      6         
Kestas              K.                  6      10     1      1      3      9         
Andrius             M.                  5      5      7      7      7      1         
Benas               J.                  5      6      10     10     4      7         
Petras              P.                  8      6      10     7      6      3         
Ema                 E.                  6      8      3      9      6      9         
Emilija             Q.                  9      3      9      2      10     9         
Adele               Q.                  8      5      8      1      5      4         
Amelija             H.                  9      6      10     7      2      3         
Amelija             V.                  7      3      1      10     7      5         
Barbora             G.                  2      2      2      10     2      9         
Daumantas           G.                  3      9      9      3      3      10        
Jonas               I.                  1      8      10     6      3      9         
Paulius             M.                  5      5      3      4      4      5         
Tomas               Q.                  5      8      4      7      8      5         
Motiejus            B.                  1      10     6      1      8      3         
Tomas               A.                  4      9      8      1      3      8         
Motiejus            U.                  5      8      6      5      2      9         
Dominykas           P.                  5      3      2      9      9      9         
Benas               H.                  7      3      8      7      6      8         
Lukas               E.                  2      7      1      2      2      5         
Ugne                Q.                  8      2      2      6      4      3         
Barbora             B.                  3      4      7      1      3      4         
Jonas               C.                  3      6      5      10     8      5         
Rokas               Q.                  10     6      2      9      9      1         
Barbora             N.                  1      9      4      6      8      5         
Motiejus            B.                  4      9      6      9      5      10        
Emilija             C.                  10     8      2      8      7      4         
Matas               U.                  2      4      6      6      6      10        
Jonas               I.                  6      1      7      4      5      5         
Kestas              S.                  10     4      5      5      9      7         
Lukne               I.                  3      2      4      7      6      5         
Jonas               B.                  3      5      4      4      1      6         
Lukas               U.                  10     2      6      3      1      1         
Motiejus            F.                  2      7      3      10     9      2         
Motiejus            K.                  8      5      3      1      8      5         
Juozas              U.                  3      7      6      7      7      7         
Adele               V.                  1      4      4      7      2      5         
Juozas              C.                  10     4      5      8      1      2         
Liepa               F.                  5      5      1      6      3      3         
Rokas               G.                  3      3      2      8      7      5         
Ugne                D.                  6      1      6      5      4      4         
Rokas               Q.                  6      5      2      8      7      10        
Dominykas           M.                  1      4      2      7      3      9         
Emilija             E.                  4      1      1      10     7      3         
Olivija             G.                  5      5      7      5      2      1         
Lukas               M.                  7      8      2      4      6      6         
Jokubas             P.                  7      10     3      8      3      3         
Adele               G.                  4      9      8      3      7      5         
Kestas              M.                  2      7      8      8      1      5         
Olivija             F.                  8      6      2      4      10     1         
Markas              A.                  7      4      2      7      1      2         
Lukas               V.                  7      6      5      6      3      4         
Kestas              M.                  3      9      4      3      9      8         
Rokas               I.                  1      4      2      10     6      3         
Adomas              U.                  6      10     9      7      9      5         
Andrius             G.                  10     2      2      7      8      2         
Jokubas             U.                  10     1      7      1      4      7         
Andrius             D.                  6      6      1      7      2      10        
Adomas              F.                  7      6      2      10     7      4         
Matas               H.                  7      8      8      2      6      2         
Petras              C.                  8      9      3      9      6      5         
Benas               L.                  1      6      2      4      9      5         
Jonas               E.                  4      3      9      9      3      7         
Daumantas           N.                  6      3      5      5      1      3         
Daumantas           O.                  9      5      6      2      2      7         
Juozas              O.                  2      8      9      1      1      1         
Liepa               R.                  2      3      1      2      8      3         
Rokas               U.                  5      6      5      9      5      3         
Lukne               S.                  8      4      8      4      3      6         
Kestas              Q.                  2      1      10     3      5      5         
Olivija             V.                  10     1      1      3      2      5         
Juozas              G.                  1      3      10     10     4      6         
Paulius             S.                  4      9      8      4      7      3         
Adomas              G.                  1      3      7      3      8      10        
Ugne                N.                  8      7      2      5      2      4         
Daumantas           T.                  6      7      5      8      3      1         
Barbora             G.                  3      6      9      4      7      1         
Lukne               V.                  1      4      6      8      7      2         
Amelija             D.                  9      1      9      2      8      7         
Lukas               V.                  9      8      9      7      5      3         
Ugne                J.                  10     4      2      8      9      7         
Jonas               T.                  3      9      2      1      9      3         
Jonas               J.                  4      2      9      1      6      9         
Andrius             D.                  9      9      9      6      8      8         
Rokas               F.                  10     5      6      3      4      8         
Jonas               K.                  10     3      5      5      9      8         
Nojus               V.                  2      9      7      8      4      6         
Ugne                O.                  9      5      5      4      5      2         
Emilija             A.                  6      9      6      5      6      2         
Liepa               Q.                  7      2      8      5      7      6         
Dominykas           B.                  9      4      8      7      6      2         
Jonas               S.                  10     6      5      2      7      8         
Rokas               T.                  7      5      3      8      4      9         
Nojus               B.                  2      6      4      3      4      7         
Lukas               U.                  10     4      9      9      2      8         
Tomas               N.                  8      9      2      8      7      6         
Liepa               D.                  10     4      9      5      7      2         
Lukne               V.                  2      4      8      1      2      9         
Ugne                I.                  7      3      6      1      10     7         
Andrius             S.                  10     4      7      6      6      5         
Benas               Q.                  7      3      5      10     7      2         
Kestas              M.                  10     7      10     10     9      6         
Andrius             M.                  9      6      5      7      3      8         
Ugne                Q.                  7      8      3      2      6      6         
Adomas              B.                  5      10     2      3      1      6         
Juozas              D.                  9      3      4      6      6      7         
Rokas               C.                  1      4      3      6      6      7         
Lukne               Q.                  10     9      4      4      3      2         
Tomas               S.                  10     8      2      6      4      5         
Ema                 A.                  5      10     6      4      5      7         
Jonas               L.                  2      5      8      1      5      6         
Barbora             Q.                  1      6      2      9      3      10        
Adomas              C.                  2      6      6      6      4      4         
Ugne                F.                  6      4      2      5      7      1         
Barbora             A.                  5      2      8      2      4      4         
Benas               V.                  9      10     2      5      7      6         
Liepa               B.                  10     10     3      5      3      6         
Benas               C.                  3      2      1      4      7      9         
Dominykas           G.                  2      9      10     2      10     3         
Dominykas           M.                  10     9      6      1      7      10        
Kestas              R.                  6      2      5      7      6      2         
Rokas               A.                  1      6      6      10     1      7         
Lukas               C.                  4      3      5      10     4      6         
Ugne                T.                  5      4      4      6      4      7         
Barbora             J.                  10     3      5      3      1      9         
Adomas              M.                  8      1      3      6      6      7         
Amelija             P.                  3      5      2      5      7      7         
Adele               H.                  1      8      7      1      6      8         
Emilija             G.                  1      10     2      7      7      10        
Rokas               D.                  1      9      6      8      10     4         
Jonas               D.                  3      3      5      2      10     10        
Dominykas           G.                  4      4      4      5      1      8         
Ugne                R.                  9      3      7      1      3      9         
Dominykas           K.                  8      3      3      2      6      4         
Markas              Q.                  5      5      10     1      10     8         
Emilija             C.                  2      3      6      10     5      5         
Ema                 H.                  1      7      10     8      4      3         
Matas               L.                  9      4      1      10     6      3         
Emilija             G.                  2      7      8      1      2      2         
Olivija             C.                  10     1      8      4      1      10        
Petras              D.                  9      2      9      10     9      4         
Lukne               B.                  5      10     2      9      7      10        
Kestas              G.                  6      5      9      9      1      2         
Lukas               J.                  10     9      5      5      6      4         
Benas               Q.                  6      6      9      1      10     6         
Nojus               S.                  3      1      8      3      4      3         
Matas               H.                  4      7      3      10     10     7         
Emilija             P.                  7      9      9      7      5      3         
Petras              U.                  10     7      10     3      2      7         
Lukne               B.                  10     5      5      5      4      3         
Paulius             S.                  9      1      3      9      10     1         
Kestas              H.                  5      6      2      2      10     7         
Jokubas             B.                  8      5      6      9      3      7         
Jonas               L.                  6      1      6      3      6      4         
Barbora             E.                  3      2      6      2      3      8         
Jokubas             P.                  8      4      5      9      1      7         
Olivija             D.                  6      4      10     4      3      3         
Adele               K.                  4      1      3      4      3      10        
Markas              A.                  1      3      7      10     6      8         
Juozas              V.                  9      4      10     5      1      8         
Daumantas           O.                  6      4      4      9      10     6         
Juozas              E.                  4      6      9      6      6      4         
Benas               P.                  6      4      9      5      2      5         
Amelija             C.                  5      8      9      8      1      1         
Barbora             Q.                  3      7      2      5      8      1         
Ema                 D.                  6      1      3      1      5      7         
Olivija             L.                  3      6      8      5      2      3         
Jonas               N.                  4      9      8      10     7      8         
Rokas               T.                  4      2      3      4      1      8         
Barbora             O.                  10     1      3      8      8      9         
Amelija             P.                  4      1      1      7      9      4         
Jonas               G.                  7      3      3      4      6      6         
Motiejus            L.                  5      4      4      10     5      5         
Daumantas           M.                  9      3      6      7      3      9         
Matas               H.                  2      4      4      4      10     2         
Daumantas           K.                  2      2      1      1      5      1         
Andrius             M.                  7      4      3      6      4      8         
Olivija             Q.                  5      7      5      6      3      3         
Nojus               H.                  1      10     9      9      7      3         
Ugne                M.                  10     3      1      3      4      7         
Adele               T.                  9      9      8      9      3      2         
Daumantas           C.                  2      1      8      2      5      6         
Markas              O.                  1      5      4      4      7      3         
Matas               T.                  9      5      3      10     5      5         
Olivija             L.                  9      2      4      8      3      3         
Dominykas           E.                  2      4      4      4      5      3         
Ugne                T.                  1      7      6      1      8      7         
Olivija             F.                  9      5      6      10     6      7         
Lukne               C.                  1      9      2      6      4      7         
Juozas              V.                  1      8      4      6      3      8         
Petras              Q.                  5      9      8      10     9      8         
Liepa               T.                  6      9      6      3      1      1         
Ugne                O.                  10     9      9      1      5      2         
Matas               L.                  4      5      5      8      1      2         
Jonas               L.                  5      2      6      2      9      8         
Tomas               B.                  2      6      10     4      4      3         
Paulius             Q.                  10     10     7      9      1      4         
Amelija             T.                  4      8      1      10     1      2         
Juozas              S.                  6      1      10     7      4      3         
Rokas               A.                  5      6      2      6      8      9         
Adele               L.                  4      7      7      4      9      8         
Olivija             B.                  7      3      9      5      9      5         
Jonas               J.                  4      9      8      7      3      10        
Motiejus            E.                  10     5      10     6      9      2         
Petras              P.                  3      10     5      3      8      5         
Adomas              U.                  4      2      5      7      2      9         
Lukne               K.                  10     4      5      5      1      3         
Jonas               D.                  10     3      3      6      7      9         
Kestas              O.                  1      9      8      8      10     8         
Daumantas           P.                  8      9      10     3      7      10        
Adele               L.                  2      1      6      9      6      6         
Juozas              P.                  4      5      3      2      10     10        
Olivija             A.                  1      10     1      4      9      2         
Adomas              L.                  7      7      7      3      9      10        
Markas              Q.                  9      8      7      5      9      6         
Lukne               K.                  6      10     6      8      9      4         
Liepa               R.                  7      6      4      3      7      9         
Tomas               G.                  4      4      3      5      1      9         
Paulius             N.                  7      8      3      4      8      9         
Ugne                R.                  8      8      10     9      2      5         
Barbora             Q.                  3      6      8      2      5      8         
Emilija             B.                  4      10     7      3      9      6         
Liepa               Q.                  10     1      3      3      10     4         
Ema                 S.                  10     9      5      8      4      2         
Olivija             U.                  4      10     8      4      1      2         
Liepa               H.                  5      10     10     5      6      8         
Olivija             S.                  10     1      1      9      3      10        
Ema                 L.                  1      7      6      10     8      1         
Andrius             U.                  5      8      2      5      4      8         
Nojus               G.                  9      10     2      1      2      7         
Paulius             D.                  6      5      8      3      3      1         
Adele               A.                  4      5      4      9      8      3         
Liepa               Q.                  2      4      8      3      1      6         
Motiejus            J.                  8      8      5      8      5      1         
Olivija             T.                  3      7      6      7      10     10        
Barbora             N.                  7      2      1      1      6      1         
Ugne                G.                  8      7      7      5      6      5         
Emilija             G.                  6      5      7      7      4      8         
Jonas               D.                  10     8      6      7      1      4         
Adomas              D.                  10     8      8      10     9      6         
Emilija             E.                  2      9      6      6      3      9         
Petras              E.                  3      10     5      8      1      1         
Markas              U.                  5      2      2      7      5      10        
Jokubas             E.                  7      4      3      5      1      8         
Ugne                U.                  7      2      10     2      2      6         
Tomas               N.                  2      3      9      6      3      5         
Markas              H.                  8      3      4      4      8      5         
Ugne                S.                  3      8      10     2      7      7         
Ugne                A.                  2      1      8      4      1      5         
Emilija             B.                  9      4      7      5      4      4         
Kestas              R.                  4      4      2      6      4      2         
Lukne               N.                  6      9      5      8      1      10        
Daumantas           F.                  2      4      8      2      10     2         
Rokas               M.                  4      10     1      3      3      4         
Nojus               M.                  10     2      9      2      5      5         
Paulius             S.                  2      5      5      5      5      3         
Ema                 D.                  10     9      8      3      9      8         
Jonas               I.                  10     2      5      4      5      4         
Jonas               Q.                  3      10     6      3      6      6         
Matas               E.                  3      9      7      3      9      8         
Dominykas           F.                  7      8      8      5      10     5         
Markas              M.                  2      8      10     7      10     8         
Lukas               R.                  4      10     4      1      5      1         
Motiejus            G.                  10     9      6      9      3      5         
Ema                 L.                  5      10     10     3      6      4         
Paulius             N.                  9      3      5      1      2      8         
Adomas              J.                  6      2      9      2      7      6         
Lukas               G.                  9      6      1      1      5      10        
Motiejus            F.                  1      6      4      1      9      1         
